tconst	imdb_id	primaryTitle	startYear	averageRating	numVotes
tt1663662	1663662	Pacific Rim	2013	6.9	529780
tt0458525	458525	X-Men Origins: Wolverine	2009	6.5	529607
tt0206634	206634	Children of Men	2006	7.9	528496
tt1517268	1517268	Barbie	2023	6.8	528392
tt2179136	2179136	American Sniper	2014	7.3	528053
tt0367594	367594	Charlie and the Chocolate Factory	2005	6.7	527960
tt1229238	1229238	Mission: Impossible - Ghost Protocol	2011	7.4	527668
tt0099487	99487	Edward Scissorhands	1990	7.9	522909
tt0800080	800080	The Incredible Hulk	2008	6.6	522532
tt0047396	47396	Rear Window	1954	8.5	521046
tt0289879	289879	The Butterfly Effect	2004	7.6	520233
tt1477834	1477834	Aquaman	2018	6.8	519679
tt0441773	441773	Kung Fu Panda	2008	7.6	519491
tt0790636	790636	Dallas Buyers Club	2013	7.9	518368
tt0268380	268380	Ice Age	2002	7.5	517841
tt0057012	57012	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb	1964	8.4	517071
tt0449059	449059	Little Miss Sunshine	2006	7.8	517001
tt1979320	1979320	Rush	2013	8.1	512155
tt0448157	448157	Hancock	2008	6.4	510830
tt4425200	4425200	John Wick: Chapter 2	2017	7.4	510180
tt1790864	1790864	The Maze Runner	2014	6.8	507182
tt3183660	3183660	Fantastic Beasts and Where to Find Them	2016	7.2	506908
tt0119116	119116	The Fifth Element	1997	7.6	504919
tt0298148	298148	Shrek 2	2004	7.3	503431
tt1951265	1951265	The Hunger Games: Mockingjay - Part 1	2014	6.6	501584
tt1895587	1895587	Spotlight	2015	8.1	501256
tt0092099	92099	Top Gun	1986	6.9	501209
tt2245084	2245084	Big Hero 6	2014	7.8	500152
tt1800241	1800241	American Hustle	2013	7.2	499892
tt0038650	38650	It's a Wonderful Life	1946	8.6	498240
tt1291584	1291584	Warrior	2011	8.1	497096
tt1408101	1408101	Star Trek Into Darkness	2013	7.7	496665
tt0362227	362227	The Terminal	2004	7.4	494268
tt1568346	1568346	The Girl with the Dragon Tattoo	2011	7.8	494025
tt0398286	398286	Tangled	2010	7.7	492777
tt2527338	2527338	Star Wars: Episode IX - The Rise of Skywalker	2019	6.4	492076
tt1454029	1454029	The Help	2011	8.1	491683
tt1535109	1535109	Captain Phillips	2013	7.8	491604
tt1630029	1630029	Avatar: The Way of Water	2022	7.6	491418
tt1430132	1430132	The Wolverine	2013	6.7	491223
tt0367882	367882	Indiana Jones and the Kingdom of the Crystal Skull	2008	6.2	490752
tt1840309	1840309	Divergent	2014	6.6	487975
tt0335266	335266	Lost in Translation	2003	7.7	487319
tt1099212	1099212	Twilight	2008	5.3	486693
tt0372183	372183	The Bourne Supremacy	2004	7.7	486224
tt1723121	1723121	We're the Millers	2013	7.0	485129
tt0327056	327056	Mystic River	2003	7.9	485027
tt1677720	1677720	Ready Player One	2018	7.4	484364
tt1596363	1596363	The Big Short	2015	7.8	482868
tt2980516	2980516	The Theory of Everything	2014	7.7	481206
tt0099088	99088	Back to the Future Part III	1990	7.4	479805
tt1515091	1515091	Sherlock Holmes: A Game of Shadows	2011	7.4	479710
tt0101414	101414	Beauty and the Beast	1991	8.0	478904
tt0974015	974015	Justice League	2017	6.1	477948
tt9419884	9419884	Doctor Strange in the Multiverse of Madness	2022	6.9	476075
tt0319262	319262	The Day After Tomorrow	2004	6.5	475210
tt3397884	3397884	Sicario	2015	7.7	475001
tt0407304	407304	War of the Worlds	2005	6.5	474258
tt0887912	887912	The Hurt Locker	2008	7.5	473135
tt0217505	217505	Gangs of New York	2002	7.5	472071
tt0139654	139654	Training Day	2001	7.7	471700
tt1535108	1535108	Elysium	2013	6.6	470472
tt1950186	1950186	Ford v Ferrari	2019	8.1	470204
tt0830515	830515	Quantum of Solace	2008	6.5	470108
tt0325710	325710	The Last Samurai	2003	7.8	469969
tt0117060	117060	Mission: Impossible	1996	7.2	469418
tt1499658	1499658	Horrible Bosses	2011	6.9	469173
tt0317219	317219	Cars	2006	7.2	468028
tt2103281	2103281	Dawn of the Planet of the Apes	2014	7.6	467220
tt0405422	405422	The 40-Year-Old Virgin	2005	7.1	465813
tt0387564	387564	Saw	2004	7.6	465634
tt2379713	2379713	Spectre	2015	6.8	465462
tt0458352	458352	The Devil Wears Prada	2006	6.9	465285
tt0084787	84787	The Thing	1982	8.2	465247
tt0033467	33467	Citizen Kane	1941	8.3	465206
tt0103639	103639	Aladdin	1992	8.0	465191
tt0446029	446029	Scott Pilgrim vs. the World	2010	7.6	464393
tt1210166	1210166	Moneyball	2011	7.6	463517
tt0780536	780536	In Bruges	2008	7.9	460706
tt3385516	3385516	X-Men: Apocalypse	2016	6.9	460161
tt0120616	120616	The Mummy	1999	7.1	459853
tt0319061	319061	Big Fish	2003	8.0	458374
tt0382625	382625	The Da Vinci Code	2006	6.6	458061
tt1772341	1772341	Wreck-It Ralph	2012	7.7	457427
tt0070047	70047	The Exorcist	1973	8.1	453740
tt0093773	93773	Predator	1987	7.8	453606
tt0765429	765429	American Gangster	2007	7.8	451709
tt0093779	93779	The Princess Bride	1987	8.0	450233
tt0120591	120591	Armageddon	1998	6.7	450044
tt1259521	1259521	The Cabin in the Woods	2011	7.0	449585
tt3170832	3170832	Room	2015	8.1	449237
tt1605783	1605783	Midnight in Paris	2011	7.6	449219
tt0375679	375679	Crash	2004	7.7	448639
tt5095030	5095030	Ant-Man and the Wasp	2018	7.0	448541
tt0087332	87332	Ghostbusters	1984	7.8	447562
tt0347149	347149	Howl's Moving Castle	2004	8.2	447255
tt0942385	942385	Tropic Thunder	2008	7.1	447040
tt5580390	5580390	The Shape of Water	2017	7.3	446848
tt1355644	1355644	Passengers	2016	7.0	445854
tt0360717	360717	King Kong	2005	7.2	445794
tt1637688	1637688	In Time	2011	6.7	444972
tt0289043	289043	28 Days Later	2002	7.5	444201
tt2382320	2382320	No Time to Die	2021	7.3	443571
tt0119567	119567	The Lost World: Jurassic Park	1997	6.5	443105
tt1217209	1217209	Brave	2012	7.1	441310
tt0443453	443453	Borat	2006	7.4	440988
tt0092005	92005	Stand by Me	1986	8.1	440486
tt0217869	217869	Unbreakable	2000	7.3	440350
tt1014759	1014759	Alice in Wonderland	2010	6.4	440233
tt2584384	2584384	Jojo Rabbit	2019	7.9	439931
tt2283362	2283362	Jumanji: Welcome to the Jungle	2017	6.9	439616
tt0831387	831387	Godzilla	2014	6.4	439389
tt11564570	11564570	Glass Onion	2022	7.1	439360
tt0091763	91763	Platoon	1986	8.1	438572
tt12361974	12361974	Zack Snyder's Justice League	2021	7.9	437212
tt0083866	83866	E.T. the Extra-Terrestrial	1982	7.9	436667
tt0351283	351283	Madagascar	2005	6.9	436513
tt0088847	88847	The Breakfast Club	1985	7.8	435459
tt0105695	105695	Unforgiven	1992	8.2	435302
tt1245492	1245492	This Is the End	2013	6.6	434197
tt9376612	9376612	Shang-Chi and the Legend of the Ten Rings	2021	7.4	433923
tt0377092	377092	Mean Girls	2004	7.1	433821
tt1187043	1187043	3 Idiots	2009	8.4	433070
tt0163651	163651	American Pie	1999	7.0	432895
tt0315327	315327	Bruce Almighty	2003	6.8	432607
